Submission date,Review Language,Author,Rating,Review,Reply Date,Response Time,Developer Reply,Sentiment,Keywords
2025-06-01 03:11:16,id,Aryo Yoyo,1.0,"ahh,, payahh saya gk bisa login ke akun SMB yg saya punya,, karna hp lama rusak, trus ganti hp,, gk bisa login,, gk kaya aplikasi mobile yang lain,, payahh lahh",,,,negative,Other
2025-05-30 09:25:28,id,DWI PUTRA 127,5.0,Terimakasih sangat membantu dan mudah untuk bertransaksi segala jenis bentuk apapun 🎁🎁🙏🏻🙏🏻 mudah dan fleksibel.,2025-06-02 09:07:57,71:42:29,"Hai Sahabat,

Terima kasih atas review dan rating yang kamu berikan. Jika ada kendala atau hal lain yang ingin disampaikan, Sahabat dapat juga menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-05-28 13:48:26,id,Mamat Rahmat,1.0,"M banking ke blokir,mnta bantuan ke cabang ditolak krna tbgn nya digital,smua data di pusat TDK ada di cabang,TLP 021xxx sllu TDK trnsmbung,TLP ke 500xxx mhl ampun,cara mudah ya ptskan JD nabh bank ini ,msh bnyk bank yg mudah dihubungi ketika akun nasabah ada mslh,ini sulit sekali 👎👎👎",2025-06-02 09:07:47,115:19:21,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-05-28 13:25:23,ms,BUYUNG PARABOLA,2.0,"Tolong top up dana nya diadakan dong, masa cuma ovo, gopay, link aja, dan shopeepay doang, jelas2 top up dana yang banyak dipakai orang",2025-06-02 09:07:30,115:42:07,"Hai Sahabat,

Terima kasih atas masukan yang telah diberikan. Masukan tersebut sangat bermanfaat agar kami senantiasa dapat memberikan dan meningkatkan pelayanan kepada seluruh Sahabat.
Jika ada hal lain yang ingin disampaikan, Sahabat dapat menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-05-23 14:54:11,id,Realme Realme,2.0,ribet daftarnya kaya rekening orang kaya semua ditanya depertemen,2025-05-15 06:58:33,,"Hai Sahabat, Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035. Salam Sahabat",neutral,Daftar
2025-05-22 00:05:25,id,wahyudi kurniawan,1.0,"Ini aneh, Debit Card Visa saya kok tiap kali penarikan dipoting 20rb. Bank Sampoerna Maling.",2025-05-23 01:43:10,25:37:45,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-05-21 08:54:46,id,Aris Roman,1.0,"registrasi rekening di bank sampoerna agak membingungkan dan repot caranya, mana ada soal perusahaan pula, aneh aneh aja.",2025-05-21 09:57:16,01:02:30,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-05-17 21:41:00,en,restu faozi,5.0,good apps banking,2025-05-19 03:45:21,30:04:21,"Hai Sahabat,

Terima kasih atas review dan rating yang kamu berikan. Jika ada kendala atau hal lain yang ingin disampaikan, Sahabat dapat juga menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-05-17 09:35:27,hi,Abey 62,4.0,lama banget verifikasi jga,2025-05-19 03:45:08,42:09:41,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-05-17 03:07:45,id,Ar Me,1.0,aplikasinya lambat. lemot. tidak sat set. kalah sama aplikasi mbanking dadi bank lain. bayar pake qris bukanya lambat banget. antrian di belakang udah pada menunggu !,2025-05-19 03:45:03,48:37:18,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,UI
2025-05-16 17:20:35,id,wahyudi kurniawan,1.0,Semoga bisa pihak sampoerna bank untuk membuat aplikasi mbanking yang ringan dan jangan berat loading. ini saya sinyal bagus malah dianggap buruk.,2025-05-19 03:44:33,58:23:58,"Hai Sahabat,

Terima kasih atas masukan yang telah diberikan. Masukan tersebut sangat bermanfaat agar kami senantiasa dapat memberikan dan meningkatkan pelayanan kepada seluruh Sahabat.
Jika ada hal lain yang ingin disampaikan, Sahabat dapat menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Loading
2025-05-16 13:09:32,jv,Farel Fathian,1.0,"adain Paylater dong, kayak Line Bank,,, byr dlm 30hr 0% jika cicilan 2%.. pasti saya Seneng... transaksi nya Bisa Qris, TopUp, dll...",2025-05-19 03:44:12,62:34:40,"Hai Sahabat,

Terima kasih atas masukan yang telah diberikan. Masukan tersebut sangat bermanfaat agar kami senantiasa dapat memberikan dan meningkatkan pelayanan kepada seluruh Sahabat.
Jika ada hal lain yang ingin disampaikan, Sahabat dapat menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-05-16 06:49:39,id,Awan,2.0,"Mo ganti nomor utk login susah bgt, unlink perangkat apalagi, masa gw dari luar kota hrs ke Tangerang atau JKT hanya untuk bisa login, mending pake bank lain masih banyak yg memudahkan BKN mempersulit kaya gini,dia pikir telpon cs nya gratis gitu kaya bca pake nyuruh tlp,harus isi pulsa buanyak baru bisa telpon",2022-11-30 01:55:06,,"Hai Sahabat, Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035 Salam Sahabat",negative,Other
2025-05-12 03:40:07,id,Ar Me,1.0,Aplikasi Sampah ! mau login susah amat ! Unlink perangkat udah tlpon cs udah 5 hari tanpa kejelasan di suruh nunggu di tlpon balik. gak bisa kerja apa ?!!! chat di wa pun adminya copas semua jawabnya !!,,,,negative,Other
2025-05-10 04:16:38,id,Ar Me,1.0,"sudah tlpon cs. sudah chat di wa juga. gak ada solusi. mau login suruh unlink pergkat ,TLP ke cs pun sudah. malah di suruh nunggu lagi . lambat !!",,,,negative,Loading
2025-05-09 08:43:04,id,BUYUNG PARABOLA,1.0,"Harap hadirkan kantor cabang nya di jambi, disini ada kantor bank sampoerna, tp tidak melayani keluhan nasabah, cuma bisa pinjaman aja, kyak koperasi, karena kantor cabang itu penting bagi saya",2025-05-15 06:59:22,142:16:18,"Hai Sahabat,

Terima kasih atas masukan yang telah diberikan. Masukan tersebut sangat bermanfaat agar kami senantiasa dapat memberikan dan meningkatkan pelayanan kepada seluruh Sahabat.
Jika ada hal lain yang ingin disampaikan, Sahabat dapat menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",neutral,Other
2025-04-28 04:39:02,id,Kusuma Cigars,2.0,kudu top up duit duLu ya? Agar dana pinjaman segera cair,2025-04-30 07:23:47,50:44:45,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",neutral,Other
2025-04-27 04:12:54,id,Farel Fathian,1.0,"Coba, pas buka aplikasi, tanpa ada Halaman pembuka SAMPOERNA, hilangkan aja, lgsg ke Menu Login... menghambat sekali, mending cepet, ini stack aja di Tulisan Sampoerna... tiru aja Bca, Bni, Bri, tnpa ada halaman Pembukaan.",2025-04-30 07:23:36,75:10:42,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,UI
2025-04-23 08:30:49,jv,wandira puspita sari,1.0,baru kali buka rekening ditolak!!!,2025-04-30 07:23:30,166:52:41,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-04-23 00:56:09,id,Alfatah Yanur,1.0,Saya atas Nama RIMA YANISA WINDASARI saya tidak pernah mengajukan pinjaman di PT BANK SAHABAT SAMPOERNA dan saya tidak pernah menerima cairan sedikit pun dari PT BANK SAHABAT SAMPOERNA tapi kenapa data saya di salah gunakan orang yang tidak bertanggung jawab untuk meminjam dana..? saya tidak mau tahu data saya tolong di hapus dan jangan sampai di salah gunakan lagi..! dan tolong di BI CHECKING data saya di hapus Terimakasih,2025-04-23 04:18:19,03:22:10,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-04-22 18:36:48,id,Fadil Famukti,1.0,"kenapa si anda males ber inovasi di mobile banking. terlalu lemot, buka aplikasi wajib on GPS dan fitur itu itu aja.",2025-04-23 04:18:12,09:41:24,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Loading
2025-04-22 12:46:11,en,Faozi inmal,5.0,thank youu best apps best services,2025-04-23 04:18:05,15:31:54,"Hai Sahabat,

Terima kasih atas review dan rating yang kamu berikan. Jika ada kendala atau hal lain yang ingin disampaikan, Sahabat dapat juga menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-04-22 03:43:37,id,AnGga Syahputra,1.0,sumpah buat bikin daftar aja susah nya minta ampun suruh pake alamat kantor perusahan terus harus ngisi no atasan buat apa coba ada ada-ada saja bikin akun bank sudah kayak mau ngelamar ini itu tpadahal bisa tinggal dipermudah aja paake ktp dan kk sudah cukup buat ngisi dokumen ga harus pake alamat perusahan npwp buat apa ❓ pendaftaran yang tidak logis,2025-04-22 09:27:59,05:44:22,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-04-21 02:58:53,id,Iwan Khusnul,1.0,zooonk,2025-04-22 02:03:34,23:04:41,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-04-16 19:45:05,id,CaeZzar,2.0,Login ga bisa,2024-10-24 03:18:28,,"Hai Sahabat, Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035. Salam Sahabat",negative,Other
2025-04-13 10:21:16,id,Heri Jova,3.0,"Bingung sama apk bank ini, gak pernah bisa masuk foto selfi, padahal udah jelas, dibilang gak jelas, apa harus pakai iphone, tingkatkan aja dulu systemnya, RUSAK",2025-04-14 04:38:22,18:17:06,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-04-12 08:39:15,id,BUYUNG PARABOLA,1.0,Kartu debit saya kok gak dikirim2 Udah hampir sebulan,2025-04-14 04:38:15,43:59:00,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-04-08 07:14:54,id,Akbar M,3.0,Akun saya belum jadi jadi 2x 24 jam mlah udah lewat masih gak jadi jadi udh 5 hari berlalu akun belum jadi jadi. aneh,2025-04-08 08:59:34,01:44:40,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-04-08 03:51:20,it,Suganda KANDAR,5.0,tolong dong unlink di ikut sertakan di apk,2025-04-08 04:28:01,00:36:41,"Hai Sahabat,

Terima kasih atas masukan yang telah diberikan. Masukan tersebut sangat bermanfaat agar kami senantiasa dapat memberikan dan meningkatkan pelayanan kepada seluruh Sahabat.
Jika ada hal lain yang ingin disampaikan, Sahabat dapat menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",neutral,Other
2025-04-05 12:25:23,id,Herman Syah,1.0,Sudah hampir 1 minggu masih proses verifikasi ... kenapa kah ?,2025-04-08 04:27:48,64:02:25,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-04-03 22:07:12,id,Jndrl. Ahmad Yani Official,1.0,"pendaftaran RIBET!!! udah kaya pengajuan pinjaman online, padahal data dan foto sudah jelas!!! 2025 ini jaman sudah Cangihhh...",2025-04-08 04:27:42,102:20:30,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-04-03 15:32:26,id,Vito Saputra,1.0,bank ga jelas rek saya terblokir sudah 2 bulan ga ada kejelasan sama sekali jangan mau pake bank ini kalo ga mau nyesel nanti,2025-04-08 04:27:39,108:55:13,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-04-03 14:31:37,ne,FAHRUDINALI AHMAD56,5.0,☺️,2025-04-08 04:27:23,109:55:46,"Hai Sahabat,

Terima kasih atas review dan rating yang kamu berikan. Jika ada kendala atau hal lain yang ingin disampaikan, Sahabat dapat juga menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-03-29 04:45:00,id,Icha Heriel,1.0,sering beli pulsa tapi pulsanya tidak masuk padahal nomornya sudah benar.,2025-04-08 04:27:12,239:42:12,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-03-28 14:55:56,id,Abang Rahmat,1.0,"layanan cs sangat buruk nomor call center susah tersambung, dan sudah email juga tapi sampai sekarang tidak di bls",2025-04-08 04:27:05,253:31:09,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-03-27 05:50:28,id,BUYUNG PARABOLA,1.0,"Tulisan nya kecil2 kasihan orang tua gak bisa lihatnya, harap diubah lagi agar tulisan nya jadi besar, dan satu lagi top up dana nya dimasukkan",2025-04-08 04:26:59,286:36:31,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-03-27 03:22:12,id,ardixhaka,1.0,baru kali ini buka rekening di tolak 🤣padahal data sudah benar semua . buka rekening kayak mau minjem duit 😩 . uninstall aja dah .,2025-04-08 04:26:52,289:04:40,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-03-23 02:40:57,id,haidaruu XD,1.0,DAFTARNYA SUPER RIBET DATA INILAH ITULAH KEK MAU PINJOL 900M,2025-03-26 02:40:53,71:59:56,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-03-22 19:12:08,id,Kamilyasari Kurniawan,1.0,pernah ku hapus bank ini karena kecewa karena kartu ATM bermsalah...di coba belanja kartu debit bermasalah..akhirny ku putuskan untuk menarik uangku semua hampir 25 juta..ternyata milik temanku juga sama kartu debitny tak berfungsi..saya tany. suamiku dan putriku ternyata kasusny sama...kemarin ada kiriman kartu debit baru padahal saya tak ngajuin..pas mau login duh hrs unlike lewat cs tapi itu bgs keamanany kuat...terimakasih atas kiriiman kartuny.insya Allah akan saya coba suksess yah,2025-03-26 02:40:25,79:28:17,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Fitur
2025-03-21 06:34:15,id,Umar Dani,5.0,top banget dah sampoerna,2025-03-26 02:40:15,116:06:00,"Hai Sahabat,

Terima kasih atas review dan rating yang kamu berikan. Jika ada kendala atau hal lain yang ingin disampaikan, Sahabat dapat juga menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-03-17 19:14:06,id,aji purwo handoko,1.0,"daftar ribet, kyk mo minjol, ada nama atasan perusahan, ada nama kerabat, hmmmm.....lgsg saya uninstal",2025-03-18 07:24:09,12:10:03,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-03-14 09:05:38,id,Hero Die,1.0,Aplikasi cacat Buat transfer tidak bisa Suruh masukan sumber dana Sedangkan buat masukan di klik jg tdk bisa Uang tdk bisa di ambil Tolong lah perbaiki aplikasi Ribet amat,2025-03-17 03:13:19,66:07:41,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-03-06 04:29:37,id,Amru Sabit,1.0,"Ada notif akun berhasil acc, baru mau login salah masukin kata sandi 1x, eh langsung keblokir akunnya, BANK GAJELAS",2025-03-11 04:40:24,120:10:47,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
